Term,Pronunciation,Context / Example Usage,Notes,Tags
capability,,,,
capture-avoiding,,,,unclassified
captureavoiding,,,,unclassified
casesor,,,,unclassified
cast,,Gradual typing,,theory
categorically-minded,,,,unclassified
Chengyu,,,,unclassified
closure,,,,Common-term
code-base,,,,unclassified
congruence,,,,Common-term
construtive,,,,unclassified
Coprod-WF,,,,unclassified
Coq-based,,,,unclassified
Coquand,,,,unclassified
cs.LO,,,,unclassified
cs.PL,,,,unclassified
CVC4,,,,unclassified
Dalibor,,,,unclassified
Danel,,,,unclassified
decidability,,,,
Deduction---CADE-18,,,,unclassified
derive,,,,
destructure,,,,unclassified
desugaring,,,,Common-term
Dimitrios,,,,unclassified
domain-theoretic,,,,unclassified
dsimp,,,,unclassified
early-stage,,,,unclassified
easily-trusted,,,,unclassified
endofunctions,,,,unclassified
Enno,,,,unclassified
entailment-based,,,,unclassified
equational,,,,Common-term
equational theory,,,,Common-term
equatiosn,,,,unclassified
Escardo,,,,unclassified
exceptions/partial,,,,unclassified
existentials,,,,unclassified
expressiveness,,,,Common-term
false,,,,unclassified
False-WF,,,,unclassified
fibrational,,,,unclassified
Fn-WF,,,,unclassified
forall,,,,unclassified
foregrounding,,,,unclassified
Frank Pfenning,Frank “Fenning”,,,Author
FroCoS,,,,unclassified
fully-typed,,,,unclassified
fullyannotated,,,,unclassified
function-like,,,,unclassified
function-style,,,,unclassified
functional programming,,,,
functor,,,,Common-term
furthemore,,,,unclassified
Harper's,,,,unclassified
HasType.denote,,,,unclassified
HasType.denote_ty_non_null,,,,unclassified
HasType.regular,,,,unclassified
HasType.stlc,,,,unclassified
HasType.subst,,,,unclassified
Hilbert's,,,,unclassified
Hillenbrand,,,,unclassified
Hoare-style,,,,unclassified
hom-set,,,,unclassified
https://doi.org,,,,unclassified
Id,,,,
impredicative,,,,Common-term
inl(J,,,,unclassified
inlining,,,,unclassified
inr(J,,,,unclassified
intepret,,,,unclassified
intepretations,,,,unclassified
intersection-style,,,,unclassified
IO,Eye-oh,,,
irpr,,,,unclassified
irty,,,,unclassified
isomorphic,,,,Common-term
J*K,,,,unclassified
J1K,,,,unclassified
jeg74@cl.cam.ac.uk,,,,email
Jhala,,,,unclassified
JNK,,,,unclassified
JsuccK,,,,unclassified
judgement,,dependent types,,theory
Katsumata's,,,,unclassified
Kawaguci,,,,unclassified
lambda-calculus,,,,Common-term
lambda-expression,,,,unclassified
left-identity,,,,unclassified
less-typed,,,,unclassified
let-bindings,,,,unclassified
letbinding,,,,unclassified
linear-time,,,,Common-term
Liquid-Haskell-like,,,,unclassified
logic-enriched,,,,unclassified
Luo-style,,,,unclassified
M1,,,,unclassified
Matu,,,,unclassified
McBride's,,,,unclassified
mechanization,,,,
meta-language,,,,
meta-theory,,,,unclassified
metatheoretic,,,,unclassified
metatheoretical,,,,unclassified
metatheory,,,,Common-term
Milner's,,,,unclassified
ML-style,,Similar to ML programming language,,
modal,,,,
Moggi's,,,,unclassified
monoid,,,,Common-term
monotonicity,,Mathematical property,,Common-term
mostly-automated,,,,unclassified
multi-sorted,,,,unclassified
Mumbai,,,,unclassified
Nadia Polikarpova,,,,Author
Nats-WF,,,,unclassified
NK,,,,unclassified
nk480@cl.cam.ac.uk,,,,email
NP-hard,,,,Common-term
Nuprl,,,,unclassified
Obj.magic,,,,unclassified
OCaml,,,,Common-term programming-language
off-the-shelf,,,,unclassified
OOPSLA,,,,unclassified
operational semantics,,,,
Or-WF,,,,unclassified
owner/author(s,,,,unclassified
parametricity,,,,unclassified
Paul-Andre,,,,unclassified
Peano,,,,
Peyton-Jones,,,,unclassified
Pfenning,,,,unclassified
PLDI,,,,unclassified
ponens,,,,unclassified
post-conditions,,,,unclassified
postconditions,,,,unclassified
pre-conditions,,,,unclassified
pre-existing,,,,unclassified
proof-irrelevance,,,,unclassified
Proof-relevant,,,,unclassified
propositional equality,,,,Common-term
QF-UFLIA,,,,unclassified
quadratic,,,,Common-term
re-using,,,,unclassified
real-world,,,,unclassified
realizabilty,,,,unclassified
reflexivity,,,,Common-term
relational,,,,
right-identity,,,,unclassified
safe-division,,,,unclassified
Satoshi,,,,unclassified
set-theoretically,,,,unclassified
Sharygina,,,,unclassified
Shin-ya Katsumata,,,,Author
sigma-types,,,,unclassified
simplytyped,,,,unclassified
SMT-based,,,,unclassified
SMTbased,,,,unclassified
Stephanie Weirich,,,,Author
Sterling-Harper,,,,unclassified
Stlc.HasType.subst,,,,unclassified
Stlc.HasType.subst_interp_dist,,,,unclassified
SubstCtx.subst_denot,,,,unclassified
subterms,,,,unclassified
syntax sugar,,,,
syntax-directed,,,,
Tasson,,,,unclassified
terms/proofs,,,,unclassified
trans[(succ,,,,unclassified
trans[0,,,,unclassified
trans[len,,,,unclassified
trans[Vec.len,,,,unclassified
True-WF,,,,unclassified
tuple-like,,,,unclassified
tyK(J,,,,unclassified
Type-Aware,,,,unclassified
type-checker,,,,Common-term
type-checking,,,,unclassified
type-well-formedness,,,,unclassified
typechecker,,,,Common-term
typing's,,,,unclassified
uni-typed,,,,unclassified
University of Edinburgh,,,,Institution
untyped lambda calculus,,,,Common-term
Uwe,,,,unclassified
Var-Pr,,,,unclassified
variables/arguments,,,,unclassified
Veith,,,,unclassified
Vytiniotis,,,,
Weirich,,,,unclassified
well-typedness,,,,unclassified
welltyped,,,,unclassified
workflow,,,,unclassified
x:Int,,,,unclassified
y:Int,,,,unclassified
Z3,,Tool to automatically prove theorems,,Tool
Zeilberger-Mellies,,,,unclassified
zeroleft,,,,unclassified
Zhaohui,,,,unclassified
Zhendong,,,,unclassified
Zulip,,,,unclassified
